Banks Lake South,WA,Washington,Grant,270,42
Kent,WA,Washington,King,128458,1470
Bickleton,WA,Washington,Klickitat,67,5
Ryderwood,WA,Washington,Cowlitz,332,797
Cavalero,WA,Washington,Snohomish,5284,1243
La Conner,WA,Washington,Skagit,3475,905
Martha Lake,WA,Washington,Snohomish,18566,1560
George,WA,Washington,Grant,507,151
Snohomish,WA,Washington,Snohomish,10089,1119
Eatonville,WA,Washington,Pierce,3038,633
Carson,WA,Washington,Skamania,2688,216
Almira,WA,Washington,Lincoln,276,205
Nooksack,WA,Washington,Whatcom,1560,852
Mount Vista,WA,Washington,Clark,8525,628
High Bridge,WA,Washington,Snohomish,3028,167
Lakeland South,WA,Washington,King,13982,1087
Kenmore,WA,Washington,King,22867,1438
Neah Bay,WA,Washington,Clallam,994,163
Cliffdell,WA,Washington,Yakima,80,17
Port Angeles East,WA,Washington,Clallam,3627,371
Burien,WA,Washington,King,51671,1983
Taholah,WA,Washington,Grays Harbor,714,79
Wauna,WA,Washington,Pierce,4412,268
Connell,WA,Washington,Franklin,5360,275
Disautel,WA,Washington,Okanogan,22,2
Santiago,WA,Washington,Grays Harbor,26,6
Orting,WA,Washington,Pierce,7983,1138
Colville,WA,Washington,Stevens,5064,596
Marysville,WA,Washington,Snohomish,166541,1289
Walla Walla,WA,Washington,Walla Walla,57779,938
Zillah,WA,Washington,Yakima,3125,699
Curlew,WA,Washington,Ferry,149,75
Key Center,WA,Washington,Pierce,3810,100
Hoodsport,WA,Washington,Mason,331,121
Spanaway,WA,Washington,Pierce,30528,1344
Mattawa,WA,Washington,Grant,5122,2388
Clallam Bay,WA,Washington,Clallam,366,249
Prairie Ridge,WA,Washington,Pierce,12733,1202
Rockport,WA,Washington,Skagit,76,80
Stansberry Lake,WA,Washington,Pierce,2747,510
Copalis Beach,WA,Washington,Grays Harbor,559,58
Frederickson,WA,Washington,Pierce,21737,725
Asotin,WA,Washington,Asotin,1295,483
Mill Creek,WA,Washington,Snohomish,20832,1747
Bell Hill,WA,Washington,Clallam,875,127
Green Bluff,WA,Washington,Spokane,544,27
Clayton,WA,Washington,Stevens,361,108
Puyallup,WA,Washington,Pierce,41001,1119
Hockinson,WA,Washington,Clark,5267,147
Lake McMurray,WA,Washington,Skagit,134,63
Bucoda,WA,Washington,Thurston,583,401
Issaquah,WA,Washington,King,37487,1192
Odessa,WA,Washington,Lincoln,876,417
Hazel Dell,WA,Washington,Clark,21449,1718
McMillin,WA,Washington,Pierce,1673,390
Wilbur,WA,Washington,Lincoln,839,249
Skamokawa Valley,WA,Washington,Wahkiakum,300,4
Centerville,WA,Washington,Klickitat,109,12
Nile,WA,Washington,Yakima,98,49
Spokane Valley,WA,Washington,Spokane,97847,1001
Woodland,WA,Washington,Cowlitz,6531,575
Lewisville,WA,Washington,Clark,1503,107
Vantage,WA,Washington,Kittitas,18,21
Gorst,WA,Washington,Kitsap,257,160
Lake Morton-Berrydale,WA,Washington,King,11201,351
Ione,WA,Washington,Pend Oreille,459,330
Bothell West,WA,Washington,Snohomish,20472,1918
Vaughn,WA,Washington,Pierce,342,57
Black Diamond,WA,Washington,King,4436,262
Ferndale,WA,Washington,Whatcom,14026,775
Acme,WA,Washington,Whatcom,183,11
White Center,WA,Washington,King,15300,2614
Fairchild AFB,WA,Washington,Spokane,2960,172
Pacific,WA,Washington,King,7184,1149
Glenwood,WA,Washington,Klickitat,157,64
Colfax,WA,Washington,Whitman,2811,299
Silvana,WA,Washington,Snohomish,0,0
Forks,WA,Washington,Clallam,4274,359
Kirkland,WA,Washington,King,88630,1921
Okanogan,WA,Washington,Okanogan,2571,493
Kayak Point,WA,Washington,Snohomish,1693,119
Union Hill-Novelty Hill,WA,Washington,King,22109,352
Outlook,WA,Washington,Yakima,300,893
Lake Tapps,WA,Washington,Pierce,13091,409
Cohassett Beach,WA,Washington,Grays Harbor,712,211
Tonasket,WA,Washington,Okanogan,1126,459
Sunnyside,WA,Washington,Yakima,17927,843
Lakeview,WA,Washington,Grant,881,301
Carbonado,WA,Washington,Pierce,701,649
Pullman,WA,Washington,Whitman,33276,1206
Blyn,WA,Washington,Clallam,22,1
Brinnon,WA,Washington,Jefferson,703,28
