CBSA_CODE,CBSA_TITLE,AREA_TYPE,CSA_TITLE,COUNTY,STATE_NAME,IS_CENTRAL
29180,"Lafayette, LA",Metro,"Lafayette-Opelousas-Morgan City, LA",Lafayette Parish,Louisiana,1
29180,"Lafayette, LA",Metro,"Lafayette-Opelousas-Morgan City, LA",St. Martin Parish,Louisiana,0
29180,"Lafayette, LA",Metro,"Lafayette-Opelousas-Morgan City, LA",Vermilion Parish,Louisiana,0
29200,"Lafayette-West Lafayette, IN",Metro,"Lafayette-West Lafayette-Frankfort, IN",Benton County,Indiana,0
29200,"Lafayette-West Lafayette, IN",Metro,"Lafayette-West Lafayette-Frankfort, IN",Carroll County,Indiana,0
29200,"Lafayette-West Lafayette, IN",Metro,"Lafayette-West Lafayette-Frankfort, IN",Tippecanoe County,Indiana,1
29200,"Lafayette-West Lafayette, IN",Metro,"Lafayette-West Lafayette-Frankfort, IN",Warren County,Indiana,0
29260,"La Grande, OR",Micro,,Union County,Oregon,1
29300,"LaGrange, GA-AL",Micro,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Chambers County,Alabama,0
29300,"LaGrange, GA-AL",Micro,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Troup County,Georgia,1
29340,"Lake Charles, LA",Metro,"Lake Charles-Jennings, LA",Calcasieu Parish,Louisiana,1
29340,"Lake Charles, LA",Metro,"Lake Charles-Jennings, LA",Cameron Parish,Louisiana,0
29380,"Lake City, FL",Micro,"Gainesville-Lake City, FL",Columbia County,Florida,1
29420,"Lake Havasu City-Kingman, AZ",Metro,,Mohave County,Arizona,1
29460,"Lakeland-Winter Haven, FL",Metro,"Orlando-Lakeland-Deltona, FL",Polk County,Florida,1
29500,"Lamesa, TX",Micro,,Dawson County,Texas,1
29540,"Lancaster, PA",Metro,,Lancaster County,Pennsylvania,1
29620,"Lansing-East Lansing, MI",Metro,,Clinton County,Michigan,1
29620,"Lansing-East Lansing, MI",Metro,,Eaton County,Michigan,1
29620,"Lansing-East Lansing, MI",Metro,,Ingham County,Michigan,1
29620,"Lansing-East Lansing, MI",Metro,,Shiawassee County,Michigan,0
29660,"Laramie, WY",Micro,,Albany County,Wyoming,1
29700,"Laredo, TX",Metro,,Webb County,Texas,1
29740,"Las Cruces, NM",Metro,"El Paso-Las Cruces, TX-NM",Doña Ana County,New Mexico,1
29780,"Las Vegas, NM",Micro,"Albuquerque-Santa Fe-Las Vegas, NM",Mora County,New Mexico,0
29780,"Las Vegas, NM",Micro,"Albuquerque-Santa Fe-Las Vegas, NM",San Miguel County,New Mexico,1
29820,"Las Vegas-Henderson-Paradise, NV",Metro,"Las Vegas-Henderson, NV",Clark County,Nevada,1
29860,"Laurel, MS",Micro,"Hattiesburg-Laurel, MS",Jasper County,Mississippi,0
29860,"Laurel, MS",Micro,"Hattiesburg-Laurel, MS",Jones County,Mississippi,1
29900,"Laurinburg, NC",Micro,"Fayetteville-Sanford-Lumberton, NC",Scotland County,North Carolina,1
29940,"Lawrence, KS",Metro,"Kansas City-Overland Park-Kansas City, MO-KS",Douglas County,Kansas,1
29980,"Lawrenceburg, TN",Micro,"Nashville-Davidson--Murfreesboro, TN",Lawrence County,Tennessee,1
30020,"Lawton, OK",Metro,,Comanche County,Oklahoma,1
30020,"Lawton, OK",Metro,,Cotton County,Oklahoma,0
30060,"Lebanon, MO",Micro,,Laclede County,Missouri,1
30100,"Lebanon, NH-VT",Micro,,Grafton County,New Hampshire,1
30100,"Lebanon, NH-VT",Micro,,Sullivan County,New Hampshire,0
30100,"Lebanon, NH-VT",Micro,,Orange County,Vermont,0
30100,"Lebanon, NH-VT",Micro,,Windsor County,Vermont,1
30140,"Lebanon, PA",Metro,"Harrisburg-York-Lebanon, PA",Lebanon County,Pennsylvania,1
30220,"Levelland, TX",Micro,"Lubbock-Plainview-Levelland, TX",Hockley County,Texas,1
30260,"Lewisburg, PA",Micro,"Bloomsburg-Berwick-Sunbury, PA",Union County,Pennsylvania,1
30280,"Lewisburg, TN",Micro,"Nashville-Davidson--Murfreesboro, TN",Marshall County,Tennessee,1
30300,"Lewiston, ID-WA",Metro,,Nez Perce County,Idaho,1
30300,"Lewiston, ID-WA",Metro,,Asotin County,Washington,1
30340,"Lewiston-Auburn, ME",Metro,"Portland-Lewiston-South Portland, ME",Androscoggin County,Maine,1
30380,"Lewistown, PA",Micro,,Mifflin County,Pennsylvania,1
30420,"Lexington, NE",Micro,,Dawson County,Nebraska,1
30420,"Lexington, NE",Micro,,Gosper County,Nebraska,0
30460,"Lexington-Fayette, KY",Metro,"Lexington-Fayette--Richmond--Frankfort, KY",Bourbon County,Kentucky,0
